vehicle_coordinates
[636 243],[644 243],[644 262],[636 262],[636 262],[636 243]
[1247  638],[1255  638],[1255  657],[1248  657],[1248  657],[1247  638]
[1260  640],[1268  640],[1268  659],[1260  659],[1260  659],[1260  640]
[1166  563],[1166  571],[1147  571],[1147  563],[1147  563],[1166  563]
[806 607],[806 615],[787 615],[787 607],[787 607],[806 607]
[1010  706],[1019  706],[1019  725],[1011  725],[1011  725],[1010  706]
[1000  706],[1009  706],[1009  725],[1001  725],[1001  725],[1000  706]
[1290  907],[1299  907],[1299  926],[1291  926],[1291  926],[1290  907]
[1277  909],[1285  909],[1285  928],[1278  928],[1278  928],[1277  909]
[1235  904],[1243  904],[1243  923],[1236  923],[1236  923],[1235  904]
[1179  903],[1188  903],[1188  922],[1180  922],[1180  922],[1179  903]
[1167  903],[1176  903],[1176  922],[1168  922],[1168  922],[1167  903]
[1121  905],[1130  905],[1130  925],[1122  925],[1122  925],[1121  905]
[1112  905],[1120  905],[1120  924],[1113  924],[1113  924],[1112  905]
[1078  902],[1086  902],[1086  921],[1079  921],[1079  921],[1078  902]
[1055  905],[1064  905],[1064  925],[1056  925],[1056  925],[1055  905]
[964 907],[972 907],[972 926],[965 926],[965 926],[964 907]
[1023  707],[1032  707],[1032  726],[1024  726],[1024  726],[1023  707]
[788 862],[791 870],[773 877],[771 870],[771 870],[788 862]
[777 845],[780 853],[763 860],[760 853],[760 853],[777 845]
[795 876],[798 884],[780 891],[778 884],[778 884],[795 876]
[798 887],[801 895],[783 902],[780 895],[780 895],[798 887]
[616 815],[625 815],[624 834],[616 834],[616 834],[616 815]
[ 842 1041],[ 851 1041],[ 851 1060],[ 843 1060],[ 843 1060],[ 842 1041]
[ 852 1039],[ 861 1039],[ 861 1058],[ 853 1058],[ 853 1058],[ 852 1039]
[ 819 1041],[ 828 1041],[ 828 1060],[ 820 1060],[ 820 1060],[ 819 1041]
[ 763 1039],[ 772 1039],[ 772 1058],[ 764 1058],[ 764 1058],[ 763 1039]
[ 751 1039],[ 759 1039],[ 759 1058],[ 752 1058],[ 752 1058],[ 751 1039]
[ 681 1173],[ 689 1173],[ 689 1192],[ 682 1192],[ 682 1192],[ 681 1173]
[ 555 1136],[ 563 1136],[ 563 1155],[ 555 1155],[ 555 1155],[ 555 1136]
[ 555 1176],[ 563 1176],[ 563 1195],[ 555 1195],[ 555 1195],[ 555 1176]
[1037 1013],[1046 1013],[1046 1032],[1038 1032],[1038 1032],[1037 1013]
[1085 1013],[1093 1013],[1093 1032],[1086 1032],[1086 1032],[1085 1013]
[1121 1013],[1130 1013],[1130 1032],[1122 1032],[1122 1032],[1121 1013]
[1155 1013],[1164 1013],[1164 1032],[1156 1032],[1156 1032],[1155 1013]
[1072 1048],[1080 1048],[1080 1067],[1072 1067],[1072 1067],[1072 1048]
[1242 1050],[1250 1050],[1250 1069],[1243 1069],[1243 1069],[1242 1050]
[1253 1050],[1261 1050],[1261 1069],[1253 1069],[1253 1069],[1253 1050]
[1283 1010],[1291 1010],[1291 1029],[1283 1029],[1283 1029],[1283 1010]
[ 996 1032],[ 996 1041],[ 977 1040],[ 977 1032],[ 977 1032],[ 996 1032]
[ 998 1082],[ 998 1090],[ 979 1090],[ 979 1082],[ 979 1082],[ 998 1082]
[ 921 1081],[ 921 1090],[ 902 1089],[ 902 1081],[ 902 1081],[ 921 1081]
[ 921 1099],[ 921 1107],[ 902 1106],[ 902 1099],[ 902 1099],[ 921 1099]
[ 919 1136],[ 919 1144],[ 900 1143],[ 900 1136],[ 900 1136],[ 919 1136]
[ 922 1154],[ 921 1163],[ 902 1162],[ 903 1154],[ 903 1154],[ 922 1154]
[ 868 1165],[ 868 1173],[ 849 1173],[ 849 1165],[ 849 1165],[ 868 1165]
[1051 1243],[1050 1251],[1031 1250],[1031 1243],[1031 1243],[1051 1243]
[1154 1182],[1154 1191],[1135 1190],[1135 1182],[1135 1182],[1154 1182]
[1154 1109],[1153 1118],[1134 1117],[1135 1109],[1135 1109],[1154 1109]
[1072 1076],[1079 1073],[1091 1088],[1085 1091],[1072 1076]
[1136 1074],[1143 1070],[1155 1085],[1150 1088],[1136 1074]
[1300 1200],[1300 1208],[1281 1208],[1281 1200],[1281 1200],[1300 1200]
[1300 1220],[1300 1229],[1281 1228],[1281 1220],[1281 1220],[1300 1220]
[ 935 1210],[ 944 1210],[ 944 1229],[ 936 1229],[ 936 1229],[ 935 1210]
[ 554 1202],[ 562 1202],[ 562 1221],[ 555 1221],[ 555 1221],[ 554 1202]
[ 537 1194],[ 546 1194],[ 546 1213],[ 538 1213],[ 538 1213],[ 537 1194]
[ 565 1223],[ 574 1223],[ 574 1242],[ 566 1242],[ 566 1242],[ 565 1223]
[ 581 1220],[ 590 1220],[ 590 1239],[ 582 1239],[ 582 1239],[ 581 1220]
[ 568 1198],[ 576 1198],[ 576 1217],[ 569 1217],[ 569 1217],[ 568 1198]
[ 337 1043],[ 345 1043],[ 345 1062],[ 337 1062],[ 337 1062],[ 337 1043]
[ 309 1041],[ 318 1041],[ 318 1060],[ 310 1060],[ 310 1060],[ 309 1041]
[ 271 1042],[ 279 1042],[ 279 1061],[ 272 1061],[ 272 1061],[ 271 1042]
[ 250 1041],[ 258 1041],[ 258 1060],[ 251 1060],[ 251 1060],[ 250 1041]
[ 138 1038],[ 146 1038],[ 146 1057],[ 138 1057],[ 138 1057],[ 138 1038]
[  76 1034],[  85 1034],[  85 1053],[  77 1053],[  77 1053],[  76 1034]
[  39 1206],[  36 1214],[  19 1208],[  21 1200],[  21 1200],[  39 1206]
[  98 1219],[  95 1227],[  77 1220],[  80 1212],[  80 1212],[  98 1219]
[  81 1235],[ 107 1242],[ 104 1252],[  79 1244],[  81 1235]
[214 962],[206 961],[207 942],[215 943],[215 943],[214 962]
[  18 1054],[  10 1054],[  11 1035],[  19 1035],[  19 1035],[  18 1054]
[356 958],[349 961],[340 944],[347 941],[347 941],[356 958]
[ 226 1002],[ 235 1002],[ 235 1016],[ 228 1017],[ 226 1002]
[1213  649],[1213  660],[1233  661],[1233  652],[1213  649]
[764 620],[758 627],[774 636],[780 630],[764 620]
[1299 1073],[1287 1087],[1295 1094],[1301 1086],[1299 1073]
[1003 1012],[1002 1030],[1013 1031],[1012 1013],[1003 1012]
[   8 1220],[  11 1211],[   0 1205],[  -3 1217],[   8 1220]
[ 148 1254],[ 146 1263],[ 171 1272],[ 174 1261],[ 148 1254]
[306 941],[317 943],[316 962],[305 962],[306 941]
[ 293 1007],[ 292 1022],[ 302 1021],[ 306 1007],[ 293 1007]
[ 281 1005],[ 290 1004],[ 292 1023],[ 282 1023],[ 281 1005]
[136 953],[146 954],[145 937],[139 937],[136 953]
[ 845 1131],[ 845 1141],[ 869 1140],[ 868 1131],[ 845 1131]
[1008 1252],[1007 1259],[1028 1259],[1027 1251],[1008 1252]
[ 903 1062],[ 903 1069],[ 920 1070],[ 920 1062],[ 903 1062]
[1027 1078],[1037 1078],[1037 1094],[1029 1095],[1027 1078]
[1032  910],[1032  925],[1041  925],[1041  911],[1032  910]
[1191  297],[1189  304],[1211  305],[1211  298],[1191  297]
